n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
240,10,1205,8.4257124,13.784724,20.084376,5.3294017,0.26550648,0.24128492
241,10,1210,8.4172777,13.785434,20.058904,5.3075492,0.26550695,0.24128533
242,10,1215,8.4090219,13.786139,20.033598,5.2858749,0.26550741,0.24128575
243,10,1220,8.4009429,13.786839,20.008457,5.2643767,0.26550787,0.24128615
244,10,1225,8.3930383,13.787535,19.983479,5.2430525,0.26550833,0.24128656
245,10,1230,8.385306,13.788226,19.958662,5.2219002,0.26550878,0.24128696
246,10,1235,8.3777437,13.788912,19.934006,5.2009177,0.26550923,0.24128735
247,10,1240,8.3703493,13.789595,19.909508,5.180103,0.26550968,0.24128775
248,10,1245,8.3631205,13.790272,19.885167,5.159454,0.26551012,0.24128814
249,10,1250,8.3560554,13.790946,19.860983,5.1389689,0.26551056,0.24128853
250,10,1255,8.3491516,13.791615,19.836953,5.1186456,0.265511,0.24128891
251,10,1260,8.3424073,13.79228,19.813076,5.0984823,0.26551143,0.24128929
252,10,1265,8.3358202,13.79294,19.78935,5.0784771,0.26551186,0.24128967
253,10,1270,8.3293884,13.793597,19.765775,5.0586282,0.26551229,0.24129005
254,10,1275,8.3231099,13.794249,19.742349,5.0389336,0.26551271,0.24129042
255,10,1280,8.3169827,13.794897,19.719071,5.0193916,0.26551313,0.24129079
256,10,1285,8.3110047,13.795541,19.695939,5.0000005,0.26551355,0.24129116
257,10,1290,8.3051742,13.796182,19.672952,4.9807585,0.26551396,0.24129152
258,10,1295,8.299489,13.796818,19.65011,4.961664,0.26551437,0.24129189
259,10,1300,8.2939474,13.79745,19.627409,4.9427151,0.26551478,0.24129224
260,10,1305,8.2885475,13.798078,19.60485,4.9239103,0.26551518,0.2412926
261,10,1310,8.2832874,13.798702,19.582432,4.9052479,0.26551558,0.24129295
262,10,1315,8.2781652,13.799323,19.560152,4.8867264,0.26551598,0.2412933
263,10,1320,8.2731792,13.799939,19.53801,4.868344,0.26551638,0.24129365
264,10,1325,8.2683275,13.800552,19.516004,4.8500993,0.26551677,0.241294
265,10,1330,8.2636085,13.801161,19.494133,4.8319908,0.26551716,0.24129434
266,10,1335,8.2590202,13.801766,19.472397,4.8140169,0.26551755,0.24129468
267,10,1340,8.2545612,13.802368,19.450794,4.7961761,0.26551793,0.24129502
268,10,1345,8.2502295,13.802966,19.429323,4.7784669,0.26551831,0.24129535
269,10,1350,8.2460235,13.803561,19.407982,4.7608879,0.26551869,0.24129568
270,10,1355,8.2419416,13.804151,19.386771,4.7434377,0.26551907,0.24129601
271,10,1360,8.237982,13.804739,19.365689,4.7261149,0.26551944,0.24129634
272,10,1365,8.2341432,13.805322,19.344734,4.708918,0.26551981,0.24129667
273,10,1370,8.2304236,13.805903,19.323905,4.6918457,0.26552018,0.24129699
274,10,1375,8.2268215,13.806479,19.303202,4.6748967,0.26552054,0.24129731
